Program,Retained Report ID,Candidate Report ID,Candidate Report Number,Subawardee UEI,Subawardee Vendor Name,Prime PIID,Subaward Date,Subaward Amount $M
virginia,20750848,20750847,bd500fc2-fcb9-11ef-8e2a-e7034f2d18cd,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",N0002416C2111,2020-04-23,0.162009
virginia,20750848,20750846,bd500d56-fcb9-11ef-8e2a-e7034f2d18cd,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",N0002416C2111,2020-04-23,0.162009
virginia,20945665,20945664,6dcdc998-fcba-11ef-8e2a-e7034f2d18cd,G319AMB56SW5,"901 D, LLC",N0002417C2100,2019-01-09,0.048500
virginia,20750496,20750495,bc9951e2-fcb9-11ef-8e2a-e7034f2d18cd,G319AMB56SW5,"901 D, LLC",N0002416C2111,2019-08-22,0.050000
virginia,20750496,20750494,bc994f62-fcb9-11ef-8e2a-e7034f2d18cd,G319AMB56SW5,"901 D, LLC",N0002416C2111,2019-08-22,0.050000
virginia,20751189,20751188,bd54049c-fcb9-11ef-8e2a-e7034f2d18cd,G44XUJLFP3A1,TANDEMLOC INC.,N0002416C2111,2019-01-21,0.033066
virginia,20693889,20693888,90c03392-fcb9-11ef-8e2a-e7034f2d18cd,GHJ6L9RLAR65,WILSON TOOL INTERNATIONAL INC.,N0002412C2115,2017-09-05,0.160660
virginia,20692431,20692430,8c22a068-fcb9-11ef-8e2a-e7034f2d18cd,GL8XT6HAWLK1,BHI ENERGY I POWER SERVICES LLC,N0002412C2115,2018-05-23,0.012742
virginia,20948922,20948921,70a36240-fcba-11ef-8e2a-e7034f2d18cd,GR2CKSBB4MB5,LENAPE FORGED PRODUCTS CORP.,N0002417C2100,2018-12-19,0.047460
virginia,20693010,20693009,8f74fd7e-fcb9-11ef-8e2a-e7034f2d18cd,GXK6HT9PN3P9,KAMATICS CORPORATION,N0002412C2115,2017-08-03,0.025200
virginia,20948513,20948512,6fee14bc-fcba-11ef-8e2a-e7034f2d18cd,GXK6HT9PN3P9,KAMATICS CORPORATION,N0002417C2100,2018-11-21,0.035040
virginia,20692872,20692871,8f736554-fcb9-11ef-8e2a-e7034f2d18cd,H33DK44BJZE1,HAWTHORNE MACHINERY CO.,N0002412C2115,2018-10-15,0.139800
virginia,20693143,20693142,8f76eed6-fcb9-11ef-8e2a-e7034f2d18cd,HK1VJ4NJ6QN7,LOVEJOY CURTIS LLC,N0002412C2115,2018-10-15,0.002144
virginia,20750952,20750951,bd514ec8-fcb9-11ef-8e2a-e7034f2d18cd,HLAKD5J1DDG3,"KLH INDUSTRIES, INC.",N0002416C2111,2019-01-31,0.042580
virginia,20693724,20693723,8f7dab04-fcb9-11ef-8e2a-e7034f2d18cd,HMCHY1Y3NCG9,SPECIALTY BAR PRODUCTS COMPANY,N0002412C2115,2017-12-18,0.023485
virginia,20751164,20751163,bd53c19e-fcb9-11ef-8e2a-e7034f2d18cd,HQYTCMF5RGE4,SHERBURN ELECTRONICS INC.,N0002416C2111,2018-11-02,0.039094
virginia,20751168,20751167,bd53cb58-fcb9-11ef-8e2a-e7034f2d18cd,HQYTCMF5RGE4,SHERBURN ELECTRONICS INC.,N0002416C2111,2018-11-08,0.076932
virginia,20692693,20692692,8c257662-fcb9-11ef-8e2a-e7034f2d18cd,HSV2N9ACRTJ6,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,N0002412C2115,2018-11-07,0.032214
virginia,20692313,20692312,8c21695a-fcb9-11ef-8e2a-e7034f2d18cd,J3HWENQMNG69,"ARCADIA MANUFACTURING GROUP, INC.",N0002412C2115,2018-02-15,0.002475
virginia,20692860,20692859,8f7344e8-fcb9-11ef-8e2a-e7034f2d18cd,JC42EBJ5NFJ1,HAMILTON SUNDSTRAND CORPORATION,N0002412C2115,2016-11-07,0.026231
virginia,20949765,20949764,715fe21c-fcba-11ef-8e2a-e7034f2d18cd,JEP5GQGFPUL9,PORTLAND VALVE LLC,N0002417C2100,2018-11-02,0.003700
virginia,20949763,20949762,715fdccc-fcba-11ef-8e2a-e7034f2d18cd,JEP5GQGFPUL9,PORTLAND VALVE LLC,N0002417C2100,2018-11-02,0.003608
virginia,20948943,20948942,70a399f4-fcba-11ef-8e2a-e7034f2d18cd,JKN2Q1EHKF63,LEONHARDT COMPANY INC,N0002417C2100,2018-10-16,0.001492
virginia,20750571,20750570,bc9a3e18-fcb9-11ef-8e2a-e7034f2d18cd,JKPCAKFW8X93,AMERICAST TECHNOLOGIES INC,N0002416C2111,2018-06-15,-0.184579
virginia,20750571,20750569,bc9a3b66-fcb9-11ef-8e2a-e7034f2d18cd,JKPCAKFW8X93,AMERICAST TECHNOLOGIES INC,N0002416C2111,2018-06-15,-0.184579
virginia,20750731,20750730,bc9be876-fcb9-11ef-8e2a-e7034f2d18cd,JKZNKGGWYZ87,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,N0002416C2111,2017-06-05,0.297642
virginia,20750661,20750660,bc9b2e18-fcb9-11ef-8e2a-e7034f2d18cd,JMFNDVNJ67A3,CM-MATRIX CORPORATION,N0002416C2111,2018-10-09,0.036730
virginia,20693299,20693298,8f792192-fcb9-11ef-8e2a-e7034f2d18cd,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",N0002412C2115,2018-09-25,0.000400
virginia,20693310,20693309,8f794140-fcb9-11ef-8e2a-e7034f2d18cd,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",N0002412C2115,2018-10-04,0.015400
virginia,20692655,20692654,8c2513f2-fcb9-11ef-8e2a-e7034f2d18cd,JU5GNH1H5FV6,DY4 INC.,N0002412C2115,2018-10-17,0.065000
virginia,20750788,20750787,bd4f6b80-fcb9-11ef-8e2a-e7034f2d18cd,JU5GNH1H5FV6,DY4 INC.,N0002416C2111,2019-02-19,0.046200
virginia,20692364,20692363,8c21f104-fcb9-11ef-8e2a-e7034f2d18cd,K3XPS1HXNBF3,"B & F MACHINE COMPANY, INC.",N0002412C2115,2018-10-15,0.019425
virginia,20692373,20692372,8c2208a6-fcb9-11ef-8e2a-e7034f2d18cd,K3XPS1HXNBF3,"B & F MACHINE COMPANY, INC.",N0002412C2115,2018-10-25,0.042207
virginia,20692385,20692384,8c2227e6-fcb9-11ef-8e2a-e7034f2d18cd,K3XPS1HXNBF3,"B & F MACHINE COMPANY, INC.",N0002412C2115,2018-11-21,0.081660
virginia,20946504,20946503,6e84b202-fcba-11ef-8e2a-e7034f2d18cd,K3XPS1HXNBF3,"B. & F. MACHINE CO., INC.",N0002417C2100,2019-01-21,0.148690
virginia,20692426,20692425,8c22935c-fcb9-11ef-8e2a-e7034f2d18cd,KDKVNQBN2Q53,"Barnhart Northeast, Inc.",N0002412C2115,2018-01-09,0.072280
virginia,20693324,20693323,8f796828-fcb9-11ef-8e2a-e7034f2d18cd,KDWVFE3K1TL3,MOOG INC.,N0002412C2115,2017-12-15,0.162628
virginia,20946646,20946645,6e863104-fcba-11ef-8e2a-e7034f2d18cd,KMDLJAJQ4UM1,"BRANTNER AND ASSOCIATES, INC.",N0002417C2100,2019-01-15,0.095641
virginia,20692990,20692989,8f74a496-fcb9-11ef-8e2a-e7034f2d18cd,KNEFNMWXBK39,JO-KELL INC.,N0002412C2115,2018-01-18,0.275100
virginia,20692981,20692980,8f748dda-fcb9-11ef-8e2a-e7034f2d18cd,KNEFNMWXBK39,JO-KELL INC.,N0002412C2115,2018-01-18,0.065940
virginia,20693801,20693800,90bf4914-fcb9-11ef-8e2a-e7034f2d18cd,KU8MSC4HELN8,"TRANSDIGM, INC.",N0002412C2115,2018-11-15,0.082500
virginia,20692731,20692730,8c25d7ec-fcb9-11ef-8e2a-e7034f2d18cd,KZGEJ29ND6K3,EVONIK CORPORATION,N0002412C2115,2017-11-30,1.204480
virginia,20692724,20692723,8c25c612-fcb9-11ef-8e2a-e7034f2d18cd,KZGEJ29ND6K3,EVONIK CORPORATION,N0002412C2115,2018-01-02,0.061538
virginia,20750810,20750809,bd4faac8-fcb9-11ef-8e2a-e7034f2d18cd,KZGEJ29ND6K3,EVONIK CORPORATION,N0002416C2111,2019-01-15,0.026564
virginia,20750816,20750815,bd4fbb1c-fcb9-11ef-8e2a-e7034f2d18cd,KZGEJ29ND6K3,EVONIK CORPORATION,N0002416C2111,2020-11-13,0.119713
virginia,20750816,20750814,bd4fb89c-fcb9-11ef-8e2a-e7034f2d18cd,KZGEJ29ND6K3,EVONIK CORPORATION,N0002416C2111,2020-11-13,0.119713
virginia,20948361,20948360,6fec5fbe-fcba-11ef-8e2a-e7034f2d18cd,LB1XJ5UY5961,IMO INDUSTRIES INC.,N0002417C2100,2017-05-31,0.248452
virginia,20751061,20751060,bd52a6c4-fcb9-11ef-8e2a-e7034f2d18cd,LCV2N9FVV739,NORTHROP GRUMMAN SYSTEMS CORPORATION,N0002416C2111,2017-04-13,-0.125083
virginia,20751061,20751059,bd52a458-fcb9-11ef-8e2a-e7034f2d18cd,LCV2N9FVV739,NORTHROP GRUMMAN SYSTEMS CORPORATION,N0002416C2111,2017-04-13,-0.125083
virginia,20750680,20750679,bc9b60c2-fcb9-11ef-8e2a-e7034f2d18cd,LFNVWPJYQKH4,COASTAL DESIGN LLC,N0002416C2111,2018-09-07,0.175000
virginia,20750674,20750673,bc9b50c8-fcb9-11ef-8e2a-e7034f2d18cd,LFNVWPJYQKH4,COASTAL DESIGN LLC,N0002416C2111,2018-09-07,0.050000
virginia,20750668,20750667,bc9b404c-fcb9-11ef-8e2a-e7034f2d18cd,LFNVWPJYQKH4,COASTAL DESIGN LLC,N0002416C2111,2019-02-22,0.033790
virginia,20692513,20692512,8c239ed2-fcb9-11ef-8e2a-e7034f2d18cd,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",N0002412C2115,2018-01-02,0.037500
virginia,20693132,20693131,8f76cb5e-fcb9-11ef-8e2a-e7034f2d18cd,LK9BTBWNLY96,LEVEL ONE FASTENERS,N0002412C2115,2018-01-24,0.032360
virginia,20751210,20751209,bd543bce-fcb9-11ef-8e2a-e7034f2d18cd,M5MVSHNR2BL1,THE SHERWIN-WILLIAMS COMPANY,N0002416C2111,2018-11-08,0.000480
virginia,20751208,20751207,bd5436d8-fcb9-11ef-8e2a-e7034f2d18cd,M5MVSHNR2BL1,THE SHERWIN-WILLIAMS COMPANY,N0002416C2111,2018-11-08,-0.009707
virginia,20946331,20946330,6e82c5fa-fcba-11ef-8e2a-e7034f2d18cd,MDH6KH9D4SG7,"ASCO POWER TECHNOLOGIES, L.P.",N0002417C2100,2018-12-17,0.150550
virginia,20750794,20750793,bd4f7cc4-fcb9-11ef-8e2a-e7034f2d18cd,MHR1KKAZ1NH5,"EDRO CORPORATION, THE",N0002416C2111,2018-09-11,0.052125
virginia,20693499,20693498,8f7b36e4-fcb9-11ef-8e2a-e7034f2d18cd,MK6AGEN4XM53,"POWERSTATION, LLC",N0002412C2115,2018-11-05,0.209006
virginia,20692193,20692192,8c2005b0-fcb9-11ef-8e2a-e7034f2d18cd,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",N0002412C2115,2016-07-05,0.002125
